Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL,Serial Number
19,Barnyard Millet And Mushroom Cutlet Recipe,Barnyard Millet And Mushroom Cutlet Recipe,"1 cup Barnyard Millet - soaked in water for 30 minutes,1 cup Button mushrooms - chopped,1 Onion - chopped,1 inch Ginger - chopped,4 Cloves (Laung) - chopped,1 Green Chilli - chopped,1 Potato (Aloo) - boiled and skin peeled and mashed,1 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,Salt - to taste,Sunflower Oil - for frying,Whole Wheat Bread crumbs - for coating","1 cup Barnyard Millet - soaked in water for 30 minutes,1 cup Button mushrooms - chopped,1 Onion - chopped,1 inch Ginger - chopped,4 Cloves (Laung) - chopped,1 Green Chilli - chopped,1 Potato (Aloo) - boiled and skin peeled and mashed,1 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,Salt - to taste,Sunflower Oil - for frying,Whole Wheat Bread crumbs - for coating",10,30,40,4,Indian,Appetizer,Vegetarian,"To begin making the Barnyard Millet And Mushroom Cutlet Recipe, heat a saucepan with oil, add onions, ginger, garlic and green chilli. Saute until the onions soften.Add the mushroom and saute until the water is all evaporated. Add chilli powder, turmeric powder, coriander powder, garam masala powder and salt.Saute for 3 minutes till the raw smell goes away. Add mashed and boiled potato and as well as the barnyard that has been soaked in water.Keep sautéing until the millet is cooked, this will take about 10 minutes.  Make sure the mixture combines together so that you can start shaping them into cutlets.Switch off the heat, spread the mixture over a tray to cool down. Take some amount of the cutlet mixture, shape them into balls and flatten them using your palm.Coat the cutlet well with bread crumbs and do the same for the rest of the mixture.Heat a flat skillet with oil, once it is heated, place the cutlet carefully and fry them on either side till it browns.Serve the Barnyard Millet And Mushroom Cutlet along with ketchup, as an accompaniment to a Pulao and Raw Mango Raita .
","To begin making the Barnyard Millet And Mushroom Cutlet Recipe, heat a saucepan with oil, add onions, ginger, garlic and green chilli. Saute until the onions soften.Add the mushroom and saute until the water is all evaporated. Add chilli powder, turmeric powder, coriander powder, garam masala powder and salt.Saute for 3 minutes till the raw smell goes away. Add mashed and boiled potato and as well as the barnyard that has been soaked in water.Keep sautéing until the millet is cooked, this will take about 10 minutes.  Make sure the mixture combines together so that you can start shaping them into cutlets.Switch off the heat, spread the mixture over a tray to cool down. Take some amount of the cutlet mixture, shape them into balls and flatten them using your palm.Coat the cutlet well with bread crumbs and do the same for the rest of the mixture.Heat a flat skillet with oil, once it is heated, place the cutlet carefully and fry them on either side till it browns.Serve the Barnyard Millet And Mushroom Cutlet along with ketchup, as an accompaniment to a Pulao and Raw Mango Raita .
",https://www.archanaskitchen.com/barnyard-millet-and-mushroom-cutlet-recipe,19
20,Veggie Penne Pasta Recipe In Creamy Roasted Carrot Sauce,Veggie Penne Pasta Recipe In Creamy Roasted Carrot Sauce,"300 grams Del Monte Penne Rigate Pasta,3 sprig Basil leaves - for garnish,1/4 cup Mozzarella cheese,2 Carrot (Gajjar) - chopped,1 Red Bell pepper (Capsicum) - chopped,1 Yellow Bell Pepper (Capsicum) - chopped,4 cloves Garlic - chopped,1/2 cup Milk,Salt - to taste,Extra Virgin Olive Oil - for cooking","300 grams Del Monte Penne Rigate Pasta,3 sprig Basil leaves - for garnish,1/4 cup Mozzarella cheese,2 Carrot (Gajjar) - chopped,1 Red Bell pepper (Capsicum) - chopped,1 Yellow Bell Pepper (Capsicum) - chopped,4 cloves Garlic - chopped,1/2 cup Milk,Salt - to taste,Extra Virgin Olive Oil - for cooking",20,30,50,4,Italian Recipes,Lunch,Vegetarian,"To begin making the Veggie Penne Pasta Recipe, we will first cook the Pasta and keep it aside.*To Cook the Pasta:Start by boiling the Del Monte Penne Rigate Pasta in hot water, keep a saucepan filled with water over a medium heat.Drop in the Penne pasta and a pinch of salt and leave it to boil. Boil the pasta till it gets cooked until you get a biting consistency which is the al dente.Strain the water from the cooked penne pasta and rinse it under cold water. Drain all the water and drizzle olive oil over the pasta so it does not stick to each other.*To Make the Sauce: To make the sauce heat a sauce pan with oil. Once the oil is warm, add garlic and let it saute for about 30 seconds.After 30 seconds, add in the carrots, red bell peppers, yellow bell peppers and roast them well till it becomes soft.Cool it down, and grind the vegetables in a mixer to a very smooth paste.Heat a sauce pan, add the ground mixture and milk, whisk it well. Season the sauce with salt and pepper. Leave it to thicken little.Add the boiled pasta and coat the pasta well with the creamy vegetable sauce and check for seasoning again and adjust it according to your palate. Preheat the oven to 180 degree Celsius to 10 minutes. Add the Veggie Penne Pasta Recipe In Creamy Roasted Carrot Sauce into a baked ceramic pan and sprinkle mozzarella cheese on top of the pasta and bake it for 10 minutes until the cheese melts. Garnish it with basil leaves and serve. Serve the Veggie Penne Pasta Recipe along with a Light And Healthy Spinach Soup to make a delightful meal for kids.
","To begin making the Veggie Penne Pasta Recipe, we will first cook the Pasta and keep it aside.*To Cook the Pasta:Start by boiling the Del Monte Penne Rigate Pasta in hot water, keep a saucepan filled with water over a medium heat.Drop in the Penne pasta and a pinch of salt and leave it to boil. Boil the pasta till it gets cooked until you get a biting consistency which is the al dente.Strain the water from the cooked penne pasta and rinse it under cold water. Drain all the water and drizzle olive oil over the pasta so it does not stick to each other.*To Make the Sauce: To make the sauce heat a sauce pan with oil. Once the oil is warm, add garlic and let it saute for about 30 seconds.After 30 seconds, add in the carrots, red bell peppers, yellow bell peppers and roast them well till it becomes soft.Cool it down, and grind the vegetables in a mixer to a very smooth paste.Heat a sauce pan, add the ground mixture and milk, whisk it well. Season the sauce with salt and pepper. Leave it to thicken little.Add the boiled pasta and coat the pasta well with the creamy vegetable sauce and check for seasoning again and adjust it according to your palate. Preheat the oven to 180 degree Celsius to 10 minutes. Add the Veggie Penne Pasta Recipe In Creamy Roasted Carrot Sauce into a baked ceramic pan and sprinkle mozzarella cheese on top of the pasta and bake it for 10 minutes until the cheese melts. Garnish it with basil leaves and serve. Serve the Veggie Penne Pasta Recipe along with a Light And Healthy Spinach Soup to make a delightful meal for kids.
",https://www.archanaskitchen.com/veggie-penne-pasta-recipe-creamy-carrot-sauce-kids-recipes-made-with-del,20
21,Traditional Christmas Cake Recipe,Traditional Christmas Cake Recipe,"3/4 cup Black raisins,1/4 cup Prunes - chopped,1/4 cup Apricots - chopped,1/4 cup Dates - chopped,1/4 cup Dried Figs - chopped,60 ml Fresh orange juice,2 tablespoons Orange Zest (Rind),1-1/2 cups Nutralite Classic Spread - softened,1 teaspoon Baking powder,3/4 cup Brown Sugar (Demerara Sugar),4 Whole Eggs,1 teaspoon Vanilla Extract,1 teaspoon Cinnamon Powder (Dalchini),1 teaspoon Clove powder (Laung),1 teaspoon Dry ginger powder,1/4 cup Almond Meal (Badam Powder),2 cups All Purpose Flour (Maida),1/4 cup Slivered Almonds (Badam)","3/4 cup Black raisins,1/4 cup Prunes - chopped,1/4 cup Apricots - chopped,1/4 cup Dates - chopped,1/4 cup Dried Figs - chopped,60 ml Fresh orange juice,2 tablespoons Orange Zest (Rind),1-1/2 cups Nutralite Classic Spread - softened,1 teaspoon Baking powder,3/4 cup Brown Sugar (Demerara Sugar),4 Whole Eggs,1 teaspoon Vanilla Extract,1 teaspoon Cinnamon Powder (Dalchini),1 teaspoon Clove powder (Laung),1 teaspoon Dry ginger powder,1/4 cup Almond Meal (Badam Powder),2 cups All Purpose Flour (Maida),1/4 cup Slivered Almonds (Badam)",2880,45,2925,1,Continental,Dessert,Eggetarian,"To begin making the Traditional Christmas Cake Recipe, we first have to soak all the dry fruits in rum and juice (you can avoid the rum). This process helps ferment the fruits and also helps to release all the flavors and make the christmas cake moist and rich.Place the sultanas, dried prunes, dried dates, dried figs and dried apricots into a large mixing bowl. Pour over the rum and orange juice and sprinkle over the orange zest.Mix until well combined, then cover the bowl with cling film and set aside overnight or a few weeks or a month or a year. They say the longer you ferment, the fruits get fermented, the richer the taste of the christmas cake.To make the Christmas Cake Batter proceed to the remaining steps are once the fermentation of the fruits are over. Preheat the oven to 170 C.Sift the flour, baking powder and the spices together and keep aside. I like to sift it twice over as the flour gets good air pockets and also makes the cake more fluffy.Line the base and sides of a 9 inch springform cake pan with a double layer parchment paper, making sure the paper reaches the top of the tin. Or you can alternatively grease the pan with butter and dust it with flour.In a large bowl or a KitchenAid Stand Mixer, whisk the Classic spread (or butter) and sugar together until fluffy. Gradually beat in the eggs one at a time. Add in the flour slowly until well combined.Slowly add in the soaked dried fruits, its liquids, the almond powder, chopped nuts and combine it into the flour mixture. Don't over beat, we just want all the ingredients to be well combined.Spoon the above Christmas Cake mixture into the springform pan and level the surface with the back of a spoon. Bake the Christmas Cake for 45 minutes approximately or until a skewer inserted into the centre of the cake comes out clean.The cake typically tends to darken a lot during baking, if this happens cover the top with parchment paper in the middle of the baking process.Once the christmas cake is baked remove it from the oven allow it to cool completely in the pan.Store the Christmas Cake in an airtight container, wrapped in greaseproof paper and aluminium foil, for two to three months.You can also bake the Traditional Christmas Cake in smaller pans and gift them to your family this holiday season.Serve the Traditional Christmas Cake along with Qahwa | Arabic Coffee Recipe and Ginger Cardamom Chai (Spice Infused Indian Style Milk Tea) to compliment the cake for your evening.
","To begin making the Traditional Christmas Cake Recipe, we first have to soak all the dry fruits in rum and juice (you can avoid the rum). This process helps ferment the fruits and also helps to release all the flavors and make the christmas cake moist and rich.Place the sultanas, dried prunes, dried dates, dried figs and dried apricots into a large mixing bowl. Pour over the rum and orange juice and sprinkle over the orange zest.Mix until well combined, then cover the bowl with cling film and set aside overnight or a few weeks or a month or a year. They say the longer you ferment, the fruits get fermented, the richer the taste of the christmas cake.To make the Christmas Cake Batter proceed to the remaining steps are once the fermentation of the fruits are over. Preheat the oven to 170 C.Sift the flour, baking powder and the spices together and keep aside. I like to sift it twice over as the flour gets good air pockets and also makes the cake more fluffy.Line the base and sides of a 9 inch springform cake pan with a double layer parchment paper, making sure the paper reaches the top of the tin. Or you can alternatively grease the pan with butter and dust it with flour.In a large bowl or a KitchenAid Stand Mixer, whisk the Classic spread (or butter) and sugar together until fluffy. Gradually beat in the eggs one at a time. Add in the flour slowly until well combined.Slowly add in the soaked dried fruits, its liquids, the almond powder, chopped nuts and combine it into the flour mixture. Don't over beat, we just want all the ingredients to be well combined.Spoon the above Christmas Cake mixture into the springform pan and level the surface with the back of a spoon. Bake the Christmas Cake for 45 minutes approximately or until a skewer inserted into the centre of the cake comes out clean.The cake typically tends to darken a lot during baking, if this happens cover the top with parchment paper in the middle of the baking process.Once the christmas cake is baked remove it from the oven allow it to cool completely in the pan.Store the Christmas Cake in an airtight container, wrapped in greaseproof paper and aluminium foil, for two to three months.You can also bake the Traditional Christmas Cake in smaller pans and gift them to your family this holiday season.Serve the Traditional Christmas Cake along with Qahwa | Arabic Coffee Recipe and Ginger Cardamom Chai (Spice Infused Indian Style Milk Tea) to compliment the cake for your evening.",https://www.archanaskitchen.com/traditional-christmas-cake-recipe,21
22,सब्जा शिकंजी रेसिपी - Chia Seeds Shikanji (Recipe In Hindi),Sabji Shikanji Recipe - Chia Seeds Shikanji,"4 छोटा चमच्च सब्जा बीज,3 कप ठंडा पानी,1 कप बर्फ,3 निम्बू - रास निकल ले,4 बड़े चमच्च शक्कर - पीसी हुई,काला नमक या सेंधा नमक - स्वादानुसार,जीरा पाउडर - चुटकी भर,काली मिर्च पाउडर - चुटकी भर,पुदीना - गार्निश के लिए","4 teaspoons Sabza seeds, 3 cups cold water, 1 cup ice, 3 Lemon - Ras nikal, 4 tablespoons sugar - PC, black salt or rock salt - according to taste, cumin powder - a pinch, pepper powder - a pinch , Peppermint - for garnish",30,0,30,4,Indian,Snack,Vegetarian,"सब्जा शिकंजी बनाने के लिए सबसे पहले सब्जा बीज को 2 कप पानी मे 30 मिनट के लिए भिगोकर रखे ।जग मे 3 कप पानी, चीनी, नींबू का रस, कालानमक, जीरा पाउडर, कालीमिर्च पाउडर, डालकर चीनी घुलने तक मिलाए ।बर्फ के टुकडे, सब्जा बीजा और पुदीना पत्ते डालकर मिलाए । तुरंत ग्लास मे डालकर सर्व करे। सब्जा शिकंजी को गर्मियों के दिनों में परोसे।आप चीनी की जगह स्वादानुसार शहद भी डाल सकते है।
","To make Sabja Shikanji, firstly soak the Sabja Seed in 2 cups of water for 30 minutes. Add 3 cups of water, sugar, lemon juice, black salt, cumin powder, black pepper powder, and mix until sugar dissolves. Add sabja bija and mint leaves and mix. Serve immediately after putting it in glass. Serve Sabja Shikanji during summer. You can also add honey as per taste instead of sugar.",https://www.archanaskitchen.com/chia-seeds-shikanji-recipe-in-hindi,22
23,Chickpea and spinach fritters Recipe,Chickpea and spinach fritters Recipe,"1 cup Kabuli Chana (White Chickpeas) - drained,1 cup Spinach Leaves (Palak),1/4 cup Corn flour,1/4 teaspoon Baking powder,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Red Chilli powder,1/2 Onion - finely chopped,1 tablespoon Ginger - minced and peeled,Salt and Pepper - to taste,Sunflower Oil - for pan frying","1 cup Kabuli Chana (White Chickpeas) - drained,1 cup Spinach Leaves (Palak),1/4 cup Corn flour,1/4 teaspoon Baking powder,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Red Chilli powder,1/2 Onion - finely chopped,1 tablespoon Ginger - minced and peeled,Salt and Pepper - to taste,Sunflower Oil - for pan frying",500,35,535,4,Greek,Appetizer,High Protein Vegetarian,"We begin making the Chickpea and spinach fritters Recipe by soaking the chickpeas for 8 hours and then pressure cooking it in a pressure cooker for about half an hour till it is soft.Let the pressure release naturally, and strain the water and grind the chickpea to a very coarse mixture.Then boil the spinach in a sauce pan with little water and strain all the water. Add this boiled spinach to the coarsely ground chickpea. Season it with the rest of the ingredients.Make into medium sized fritter, and heat a flat tawa and fry till is golden brown either side, make sure you turn them carefully as they are very soft. Keep adding a teaspoon oil to give it a nice crispy layer.Serve the Chickpea and spinach fritters Recipe as a Party Appetizer","We begin making the Chickpea and spinach fritters Recipe by soaking the chickpeas for 8 hours and then pressure cooking it in a pressure cooker for about half an hour till it is soft.Let the pressure release naturally, and strain the water and grind the chickpea to a very coarse mixture.Then boil the spinach in a sauce pan with little water and strain all the water. Add this boiled spinach to the coarsely ground chickpea. Season it with the rest of the ingredients.Make into medium sized fritter, and heat a flat tawa and fry till is golden brown either side, make sure you turn them carefully as they are very soft. Keep adding a teaspoon oil to give it a nice crispy layer.Serve the Chickpea and spinach fritters Recipe as a Party Appetizer",https://www.archanaskitchen.com/chickpea-and-spinach-fritters-recipe,23
24,Flourless Chocolate Rum Cake Recipe,Flourless Chocolate Rum Cake Recipe,"180 grams Dark chocolate,1/2 cup Butter (unsalted),1/2 cup Caster Sugar,4 Whole Eggs - at room temperature,1 teaspoon Vanilla Extract,1/2 cup Cocoa Powder - unsweetened,1/3 cup Dark rum","180 grams Dark chocolate,1/2 cup Butter (unsalted),1/2 cup Caster Sugar,4 Whole Eggs - at room temperature,1 teaspoon Vanilla Extract,1/2 cup Cocoa Powder - unsweetened,1/3 cup Dark rum",20,30,50,4,Continental,Dessert,Vegetarian,"To begin making the Flourless Chocolate Rum Cake recipe, preheat your oven to 180 C / 350 F. Grease and flour a 7 inch round tin. Line the bottom with parchment (optional).Chop the chocolate and butter into small pieces. In the microwave or on stove top , melt together until smooth.Whisk in the sugar. Whisk in the eggs, one by one, followed by the vanilla extract and rum.Whisk in the cocoa until smooth.Pour into pan and bake for 28- 30 minutes until a toothpick inserted in the centre comes out with few moist crumbs.Cool in pan for 10 minutes, unmould carefully and cool completely on a wire rack.Serve Flourless Chocolate Rum Cake as a dessert after your meal or serve it during tea time to your guests with a cup of Masala Tea or Coffee.
","To begin making the Flourless Chocolate Rum Cake recipe, preheat your oven to 180 C / 350 F. Grease and flour a 7 inch round tin. Line the bottom with parchment (optional).Chop the chocolate and butter into small pieces. In the microwave or on stove top , melt together until smooth.Whisk in the sugar. Whisk in the eggs, one by one, followed by the vanilla extract and rum.Whisk in the cocoa until smooth.Pour into pan and bake for 28- 30 minutes until a toothpick inserted in the centre comes out with few moist crumbs.Cool in pan for 10 minutes, unmould carefully and cool completely on a wire rack.Serve Flourless Chocolate Rum Cake as a dessert after your meal or serve it during tea time to your guests with a cup of Masala Tea or Coffee.
",http://www.archanaskitchen.com/flourless-chocolate-rum-cake-recipe,24
25,गाजर सूजी की फिरनी रेसिपी - Carrot Semolina Phirni (Recipe In Hindi), Carrot Semolina Phirni (Recipe In Hindi),"2 गाजर - कस ले,500 कप दूध,5 बड़े चमच्च शक्कर,1/2 कप सूजी,1/2 छोटा चमच्च इलाइची पाउडर,10 बादाम - ब्लांच करके छिलका निकाले (सिल्वर परत लगाए),2 बड़े चमच्च घी,5 केसर - थोड़ा","2 गाजर - कस ले,500 कप दूध,5 बड़े चमच्च शक्कर,1/2 कप सूजी,1/2 छोटा चमच्च इलाइची पाउडर,10 बादाम - ब्लांच करके छिलका निकाले (सिल्वर परत लगाए),2 बड़े चमच्च घी,5 केसर - थोड़ा",10,30,40,4,North Indian Recipes,Dessert,Vegetarian,"गाजर सूजी की फिरनी बनाने के लिए सबसे पहले एक सॉसपैन में 1 बड़ा चमच्च घी गरम करें।  इसमें कसी हुई गाजर डाले और 5 मिनट के लिए पकाए।  अब एक सॉस पैन में दूध गरम करें और उसमे शक्कर डाले। उसको उबलने दे और उबाला आने के बाद इसमें गाजर, इलाइची पाउडर, केसर डाले और 10 मिनट तक पकने दे.10 मिनट बाद इसमें सूजी डाले और मिलाते रहे ताकि उसमे गाठ न पड़े. गाढ़ी हो जाने के बाद गैस बंद करें और अलग से रख दे.अब एक छोटी कढ़ाई में बचा हुआ घी डाले। इसमें बादाम डाले और 10 सेकण्ड्स के लिए पकने दे. यह तड़का फिरनी में डाले, मिलाए और परोसे। स्वाद से भरपूर गाजर सूजी की फिरनी को अपने खाने के बाद मीठे में परोसे।
","गाजर सूजी की फिरनी बनाने के लिए सबसे पहले एक सॉसपैन में 1 बड़ा चमच्च घी गरम करें।  इसमें कसी हुई गाजर डाले और 5 मिनट के लिए पकाए।  अब एक सॉस पैन में दूध गरम करें और उसमे शक्कर डाले। उसको उबलने दे और उबाला आने के बाद इसमें गाजर, इलाइची पाउडर, केसर डाले और 10 मिनट तक पकने दे.10 मिनट बाद इसमें सूजी डाले और मिलाते रहे ताकि उसमे गाठ न पड़े. गाढ़ी हो जाने के बाद गैस बंद करें और अलग से रख दे.अब एक छोटी कढ़ाई में बचा हुआ घी डाले। इसमें बादाम डाले और 10 सेकण्ड्स के लिए पकने दे. यह तड़का फिरनी में डाले, मिलाए और परोसे। स्वाद से भरपूर गाजर सूजी की फिरनी को अपने खाने के बाद मीठे में परोसे।
",https://www.archanaskitchen.com/carrot-semolina-phirni-recipe-in-hindi,25
26,Vietnamese Lemongrass Shrimp Skewers Recipe,Vietnamese Lemongrass Shrimp Skewers Recipe,"500 grams Shrimps,1 Red Bell pepper (Capsicum),10 Shallots - finely chopped,4 cloves Garlic - finely chopped,1 Fresh Red chillies - slit,2 teaspoon Fish sauce,2 teaspoon Soy sauce,1/2 cup Rice flour,Salt - to taste,6 sprig Coriander (Dhania) Leaves - chopped,6 Lemongrass - stalks,Nutralite Garlic & Oregano Spread","500 grams Shrimps,1 Red Bell pepper (Capsicum),10 Shallots - finely chopped,4 cloves Garlic - finely chopped,1 Fresh Red chillies - slit,2 teaspoon Fish sauce,2 teaspoon Soy sauce,1/2 cup Rice flour,Salt - to taste,6 sprig Coriander (Dhania) Leaves - chopped,6 Lemongrass - stalks,Nutralite Garlic & Oregano Spread",10,30,40,4,Vietnamese,Appetizer,Non Vegeterian,"To begin making the Vietnamese Lemongrass Shrimp Skewers Recipe, you will have to clean the prawns and de-vien them. Wash it thoroughly again. Add them into a mixer and give it a blitz to make it a paste but it still has to remain quite chunky. Heat a skillet with Nutralite Garlic & Oregano Spread, add chopped garlic and saute till softens, add in chopped onions and sprinkle salt and saute till they turn golden brown and is caramelised. Add chopped red capsicum, and saute till they turn soft. Once done add the sautéed vegetables into the ground shrimp mixture. Add chopped coriander leaves, fish sauce, soy sauce, salt to taste, rice flour and give it a mix. Divide the mixture into 6 portions. In order to skewer them on the lemon grass. Take a lemongrass stick and take one portion of the shrimp mixture and shape it as a lollipop at one end. Do the same for the rest. Heat skillet with on medium heat, drizzle oil and place the skewers and roast the Lemongrass Shrimp Skewers evenly till it is golden brown. The shrimp will take about 10 minutes to cook well. Once done, serve hot.Serve the Vietnamese Lemongrass Shrimp Skewers Recipe along with Vietnamese Rice Noodle Salad and Chicken Bánh Mì Recipe for your weekend party.
","To begin making the Vietnamese Lemongrass Shrimp Skewers Recipe, you will have to clean the prawns and de-vien them. Wash it thoroughly again. Add them into a mixer and give it a blitz to make it a paste but it still has to remain quite chunky. Heat a skillet with Nutralite Garlic & Oregano Spread, add chopped garlic and saute till softens, add in chopped onions and sprinkle salt and saute till they turn golden brown and is caramelised. Add chopped red capsicum, and saute till they turn soft. Once done add the sautéed vegetables into the ground shrimp mixture. Add chopped coriander leaves, fish sauce, soy sauce, salt to taste, rice flour and give it a mix. Divide the mixture into 6 portions. In order to skewer them on the lemon grass. Take a lemongrass stick and take one portion of the shrimp mixture and shape it as a lollipop at one end. Do the same for the rest. Heat skillet with on medium heat, drizzle oil and place the skewers and roast the Lemongrass Shrimp Skewers evenly till it is golden brown. The shrimp will take about 10 minutes to cook well. Once done, serve hot.Serve the Vietnamese Lemongrass Shrimp Skewers Recipe along with Vietnamese Rice Noodle Salad and Chicken Bánh Mì Recipe for your weekend party.",http://www.archanaskitchen.com/vietnamese-lemongrass-shrimp-skewers-recipe,26
27,Ragi Halbai Recipe - Karnataka Style Ragi Halwa Recipe,Ragi Halbai Recipe - Karnataka Style Ragi Halwa Recipe,"2 cups Ragi Flour (Finger Millet/ Nagli),1-1/2 cups Fresh coconut - grated,2-1/2 cups Jaggery - Organic,1/4 cup Ghee - adjustable","2 cups Ragi Flour (Finger Millet/ Nagli),1-1/2 cups Fresh coconut - grated,2-1/2 cups Jaggery - Organic,1/4 cup Ghee - adjustable",20,45,65,10,Karnataka,Dessert,Vegetarian,"To begin making the Ragi Halbai recipe, soak ragi for 6 to 8 hours. Drain the water and then grind it with grated coconut to a fine paste.In a pan add a little water, jaggery and dissolve it until it completely. Boil the mixture for 1 minute on medium flame until you see bubbles.Now add the ragi coconut halbai paste and slowly start stirring, ensuring there are no lumps.You have to do this for a long time on low flame (at least 30 minutes) until the Ragi Halbai thickens and starts leaving the sides of the pan.Now smear ghee on a plate and spread the Ragi Halbai evenly. Allow the Ragi Halbai to cool and then cut into desired shapes.Serve Ragi Halbai Recipe on festivals or as a dessert after your meal of Karnataka Style Sabbasige Rasam, Karnataka Style Kadale Kaalu Saaru and Steamed Rice.
","To begin making the Ragi Halbai recipe, soak ragi for 6 to 8 hours. Drain the water and then grind it with grated coconut to a fine paste.In a pan add a little water, jaggery and dissolve it until it completely. Boil the mixture for 1 minute on medium flame until you see bubbles.Now add the ragi coconut halbai paste and slowly start stirring, ensuring there are no lumps.You have to do this for a long time on low flame (at least 30 minutes) until the Ragi Halbai thickens and starts leaving the sides of the pan.Now smear ghee on a plate and spread the Ragi Halbai evenly. Allow the Ragi Halbai to cool and then cut into desired shapes.Serve Ragi Halbai Recipe on festivals or as a dessert after your meal of Karnataka Style Sabbasige Rasam, Karnataka Style Kadale Kaalu Saaru and Steamed Rice.",https://www.archanaskitchen.com/ragi-halbai-recipe,27
28,टमाटर प्याज और ककड़ी का रायता रेसिपी - Tomato Onion Cucumber Raita (Recipe In Hindi), Tomato Onion Cucumber Raita (Recipe In Hindi),"2 कप हंग दही - फेट ले,2 ककड़ी - छीलकर काट ले,2 टमाटर - बारीक काट ले,2 हरी मिर्च - बारीक काट ले,1 छोटा चमच्च जीरा पाउडर,1 छोटा चमच्च तेल,1/2 छोटा चमच्च राइ,नमक - स्वाद अनुसार","2 cups Hung curd - whisk, 2 cucumber - peel and chop, 2 tomatoes - finely chopped, 2 green chillies - finely chopped, 1 teaspoon cumin powder, 1 teaspoon oil, 1/2 teaspoon mustard, salt - According to taste",15,20,35,3,Indian,Side Dish,Vegetarian,"टमाटर प्याज और ककड़ी का रायता बनाने के लिए सबसे पहले साड़ी सब्जिआ काट कर अलग से रख दे. अब एक बाउल में दही को फेट ले और उसमे नमक, जीरा पाउडर, कटी हुई सब्जिआ डाले और मिला ले. अब हम इस पर तड़का लगाएंगे। एक तड़का पेन ले और उसमे राइ डाले और 10 सेकण्ड्स के लिए पकने दे.अब यह तड़का रायते में डाले, मिलाए और परोसे। टमाटर प्याज और ककड़ी के रायते को दाल फ्राई, लौकी बड़ी की सब्ज़ी और फुल्के के साथ दिन के खाने के लिए परोसे।
","To make tomato onion and cucumber raita, first cut the sari vegetables and keep them separately. Now beat curd in a bowl and add salt, cumin powder, chopped vegetables and mix. Now we will put a temper on it. Take a Tadka Pen and add mustard and let it cook for 10 seconds. Now put it in Tadka Raita, mix and serve. Serve tomato onion and cucumber raita along with dal fry, gourd elder greens and phulka for the day's dinner.",http://www.archanaskitchen.com/tomato-onion-cucumber-raita-recipe-in-hindi,28
